ColorName R G B H S L
Black 0 0 0 0 0 0
White 255 255 255 0 0 100
Red 255 0 0 0 100 50
Lime 0 255 0 120 100 50
Blue 0 0 255 240 100 50
Yellow 255 255 0 60 100 50
Cyan 0 255 255 180 100 50
Magenta 255 0 255 300 100 50
Silver 192 192 192 0 0 75
Gray 128 128 128 0 0 50
Maroon 128 0 0 0 100 25
Olive 128 128 0 60 100 25
Green 0 128 0 120 100 25
Purple 128 0 128 300 100 25
Teal 0 128 128 180 100 25
Navy 0 0 128 240 100 25
DarkRed 139 0 0 0 100 27
Brown 165 42 42 0 59 41
FireBrick 178 34 34 0 68 42
Crimson 220 20 60 348 83 47
Tomato 255 99 71 9 100 64
Coral 255 127 80 16 100 66
IndianRed 205 92 92 0 53 58
LightCoral 240 128 128 0 79 78
DarkSalmon 233 150 122 15 72 70
Salmon 250 128 114 6 93 71
LightSalmon 255 160 122 17 100 74
OrangeRed 255 69 0 16 100 50
DarkOrange 255 140 0 33 100 50
Orange 255 165 0 39 100 50
Gold 255 215 0 51 100 50
DarkGoldenRod 184 134 11 43 89 38
GoldenRod 218 165 32 42 74 49
PaleGoldenRod 238 232 170 55 67 80
DarkKhaki 189 183 107 56 38 58
Khaki 240 230 140 54 77 75
LemonChiffon 255 250 205 54 100 90
LightGoldenRodYellow 250 250 210 60 80 90
"Papaya Whip" 255 239 213 37 100 92
Moccasin 255 228 181 34 100 85
PeachPuff 255 218 185 28 100 86
PaleGoldenRod 238 232 170 55 67 80
LightPink 255 182 193 350 100 86
Pink 255 192 203 350 100 88
DarkPink 255 20 147 328 100 54
